FILENAME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
T15I5D1000N10_100_40_4_20g_0_001.txt,73,105,121,73,102,133,143,154,134,72,138,174,174,146,201,224,218,107,191,243,286
PFP_T15I5D1000N10_100_40_4_20g_0_001.txt,148,93,98,122,101,105,110,93,141,131,111,145,156,136,138,164,138,171,153,141,164
SONG_T15I5D1000N10_100_40_4_20g_0_001.txt,81,108,111,119,107,144,135,73,104,158,181,164,176,179,198,218,121,198,260,130,227
MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt,85,99,57,96,122,115,114,133,125,127,183,173,172,102,168,107,151,209,123,217,269
SETCOVER_MINMIN_FREQ_T15I5D1000N10_100_40_4_20g_0_001.txt,88,470,654,547,599,767,813,723,680,854,641,876,1020,937,954,885,992,1130,1166,951
